,Municipio,Tipo,Plantas de tratamiento en operación: Total,Plantas de tratamiento en operación: Primario,Plantas de tratamiento en operación: Secundario,Capacidad instalada (Litros por segundo): Total,Capacidad instalada (Litros por segundo): Primario,Capacidad instalada (Litros por segundo): Secundario,Volumen tratado   (Millones de metros cúbicos): Total,Volumen tratado   (Millones de metros cúbicos): Primario,Volumen tratado   (Millones de metros cúbicos): Secundario,Viviendas particulares habitadas con agua entubada,Diaria,Cada tercer día,Una o dos veces a la semana,Esporádica,No especificado
47,Quimixtlán,Público,1,0,1,11,0,11,0.1892,0,0.1892,1970.0,74.4670050761421,12.0812182741116,8.37563451776649,5.07614213197969,0
48,Tecamachalco,Privado,3,3,0,1.18,1.18,0,1.18,1.18,0,13110.0,25.766590389016,17.856598016781,22.7993897787948,33.1197559115179,0.45766590389016
49,Tehuacán,Público,1,0,1,20,0,20,0.6307,0,0.6307,57866.0,27.7676010092282,25.0699892855908,45.135312618808896,1.7402274219749,0.28686966439705
50,Tehuacán,Privado,1,0,1,1.94,0,1.94,1,0,1,57866.0,27.7676010092282,25.0699892855908,45.135312618808896,1.7402274219749,0.28686966439705
51,Tehuitzingo,Público,1,0,1,3,0,3,NS,0,NS,948.0,38.8185654008438,20.253164556962,28.2700421940928,11.3924050632911,1.26582278481012
52,Tenampulco,Público,1,0,1,2,0,2,0.0631,0,0.0631,487.0,11.7043121149897,57.9055441478439,16.8377823408624,11.7043121149897,1.84804928131416
53,Teopantlán,Público,1,0,1,5,0,5,0.1577,0,0.1577,986.0,68.052738336714,11.5618661257606,16.6328600405679,3.54969574036511,0.20283975659229
54,Teotlalco,Público,1,0,1,2.79,0,2.79,0.088,0,0.088,538.0,11.5241635687732,43.8661710037174,44.0520446096654,0.55762081784386,0
55,Tepeaca,Privado,2,2,0,NS,NS,0,NS,NS,0,13233.0,24.2499811078364,29.5397868963953,32.4491800801027,13.5721302803597,0.18892163530567
56,Tepetzintla,Público,5,0,5,5.7,0,5.7,0.1798,0,0.1798,1430.0,35.1048951048951,30.1398601398601,28.041958041958,6.29370629370629,0.41958041958041
57,Tepeyahualco,Público,2,0,2,11,0,11,0.1261,0,0.1261,3836.0,80.3180396246089,9.95828988529718,6.15224191866527,3.44108446298227,0.13034410844629
58,Teziutlán,Privado,2,2,0,14.64,14.64,0,0.2,0.2,0,22508.0,70.2683490314555,22.4053669806291,6.53989692553758,0.70197263195308,0.08441443042473
59,Tlachichuca,Privado,1,1,0,0.92,0.92,0,0.92,0.92,0,6134.0,27.6328659928268,10.2706227583958,36.9742419302249,25.0407564395174,0.08151287903488
60,Tlahuapan,Público,3,0,3,16,0,16,0.4983,0,0.4983,7918.0,33.6701187168476,40.5405405405405,18.1737812578934,7.51452386966405,0.1010356150543
61,Tlahuapan,Privado,4,3,1,37.6,33.02,4.58,37.6,33.02,4.58,7918.0,33.6701187168476,40.5405405405405,18.1737812578934,7.51452386966405,0.1010356150543
62,Tlapanalá,Público,2,0,2,9.36,0,9.36,0.2006,0,0.2006,1681.0,24.3307555026769,50.2676977989292,19.3932183224271,5.7703747769185,0.23795359904818
63,Tlatlauquitepec,Público,5,0,5,9.21,0,9.21,0.2905,0,0.2905,10808.0,71.7894152479644,18.2272390821613,7.52220577350111,2.22057735011102,0.24056254626202
64,Tochimilco,Público,1,0,1,1.25,0,1.25,NS,0,NS,3895.0,44.4159178433889,30.3465982028241,19.178433889602,5.9563543003851,0.10269576379974
65,Tochtepec,Privado,1,1,0,0.2,0.2,0,0.2,0.2,0,3576.0,37.3322147651006,25.6152125279642,18.6241610738255,17.6174496644295,0.81096196868008
66,Xicotepec,Privado,11,0,11,23.5,0,23.5,0.7,0,0.7,14824.0,81.9954128440367,12.3246087425796,2.0912034538586,3.4943335132218,0.09444144630329
67,Xochiltepec,Público,1,0,1,5.2,0,5.2,0.164,0,0.164,723.0,36.5145228215767,58.6445366528354,3.31950207468879,1.52143845089903,0
68,Zacapala,Público,1,0,1,2,0,2,NS,0,NS,790.0,40.253164556962,11.8987341772151,38.4810126582278,8.73417721518987,0.63291139240506
69,Zacapoaxtla,Público,1,0,1,2.7,0,2.7,0.0852,0,0.0852,9470.0,50.3695881731784,29.8099260823653,16.8004223864836,2.89334741288278,0.12671594508975
70,Zacatlán,Público,3,1,2,101.11,20,81.11,2.9363,0.3784,2.5579,16219.0,63.7523891731919,24.5822800419261,10.1239287255687,1.27628090511128,0.26512115420186
71,Zautla,Público,2,0,2,4.7,0,4.7,0.0694,0,0.0694,4283.0,60.0046696240952,16.0868550081718,11.30049031053,12.3978519729161,0.21013308428671
72,Zoquiapan,Público,2,0,2,0.9,0,0.9,NS,0,NS,643.0,82.5816485225505,14.9300155520995,1.24416796267496,0.93312597200622,0.31104199066874
73,Zoquitlán,Público,1,0,1,1.5,0,1.5,NS,0,NS,1698.0,36.1012956419316,15.9599528857479,37.4558303886925,10.1884570082449,0.2944640753828
